concept_Id,medical_concept
0,Fear
1,Eruption
2,Heel pain
3,Joint crepitus
4,Discolouration of skin
5,Tachycardia
6,Diastolic dysfunction
7,Goitre
8,Arthritis
9,Rotator cuff syndrome
10,Poor peripheral circulation
11,Repetitive strain injury
12,Herpes zoster
13,Sinus pain
14,Contusion of hand
15,Tinea pedis
16,Influenza
17,Polyarthritis associated with another disorder
18,Tachycardia
19,Disturbance in physical behaviour
20,Suicidal thoughts
21,Clumsiness
22,Hallucinations
23,Disorder of nasal sinus
24,Increased lactic acid level
25,Abnormal vision
26,Nocturnal enuresis
27,Reduced libido
28,Non-smoker
29,Reduced mobility
30,Sharp pain
31,Weight gain
32,Menstrual spotting
33,Gastric ulcer with perforation
34,Abdominal colic
35,Bacterial sepsis
36,Metatarsalgia
37,Pain in lower limb
38,Irritable bowel syndrome
39,Nonspecific abdominal symptom
40,Acne
41,Achilles tendonitis
42,Rectal haemorrhage
43,Epistaxis
44,Bone pain
45,Reduced visual acuity
46,Pressure
47,Hypercholesterolaemia
48,Bipolar disorder
49,Asthenia
50,Hyperaesthesia
51,Thyroid disease
52,Acute renal failure
53,Constipation
54,Hearing loss
55,Sudden visual loss
56,Cold extremities
57,Otalgia
58,Muscle rigidity
59,Neuralgia
60,Heartburn
61,Dry skin
62,Limping
63,Miscarriage
64,Sedated
65,Hyperactive bowel sounds
66,Abdominal hyperaesthesia
67,Jaundice
68,Hypochondriasis
69,Gingival disease
70,Pain in finger
71,Mood swings
72,Dysfunctional uterine bleeding
73,Burning epigastric pain
74,Disability
75,Feeling agitated 232 249
76,Abdominal pain
77,Tenalgia
78,Osteoarthrosis of hand
79,Pain
80,Myocardial infarction
81,Abnormal gait
82,Unsteady when walking
83,Sciatica
84,Visual field scotoma
85,Lyme disease
86,Decreased venous pressure
87,Labyrinthitis
88,Tight chest
89,Finding of increased blood pressure
90,Feeling agitated
91,Fibromyalgia
92,Multiple sclerosis
93,Diplopia
94,Headache
95,Acute gastritis
96,Tremor
97,Ankle oedema
98,Poor concentration
99,Low motivation
100,Muscle weakness
101,Sleep pattern disturbance
102,Myositis
103,Alzheimer's disease
104,Toothache
105,Productive cough
106,Speech impairment
107,Uterine spasm
108,Chest pain
109,Pain in pelvis
110,Ulcer of oesophagus
111,Knee pain
112,Polymyositis
113,Trigeminal neuralgia
114,Bronchitis
115,Facial spasm
116,Parkinsonism
117,Restless legs
118,Disorder of back
119,Dehydration
120,Haematuria
121,Pain in the coccyx
122,Tendonitis
123,Dark stools
124,Sensitivity
125,Depression
126,Arthralgia of multiple joints
127,Burning feet
128,Night pain
129,Burning pain
130,Deep pain
131,Loss of taste
132,Sinusitis
133,Motor neurone disease
134,Acenaesthesia
135,Migraine
136,Immunosuppression
137,Hypertension
138,Abnormal blood pressure
139,Illness
140,Hepatic trauma
141,Stammering
142,Urine looks dark
143,Gallbladder disorder
144,Renal injury
145,Morning stiffness - joint
146,Mild pain
147,Heart valve regurgitation
148,Infection
149,Dysphagia
150,Derealisation
151,Confusion
152,Hypothyroidism
153,Eye pain
154,Abdominal distension
155,Male climacteric
156,Polyneuropathy
157,Renal failure
158,Night sweats
159,Shuffling gait
160,Eczema
161,Abdominal discomfort
162,Body fluid retention
163,Chill
164,Cholestatic jaundice syndrome
165,Type 2 diabetes mellitus
166,Numbness
167,Loss of sense of smell
168,Dyssomnia
169,Hyperactive behaviour
170,Loss of voice
171,Paralysis
172,Shoulder pain
173,Spasm
174,Glossitis
175,Abdominal wind pain
176,Ulceration of colon
177,Mood disorder
178,Type 1 diabetes mellitus
179,Absent minded
180,Dysphonia
181,Reflux
182,Foot pain
183,Amnesia
184,Delusional disorder
185,Muscle strain
186,Peritonitis
187,Anxiety
188,Pain in spine
189,Parkinson's disease
190,Hip pain
191,Periorbital oedema
192,Cardiovascular disease
193,Cough
194,Hoarse
195,Moderate pain
196,Basic learning problem
197,Stomach cramps
198,Increased pressure
199,Heat stroke
200,Dementia
201,Sweating problem
202,Excessive sweating
203,Chronic fatigue syndrome
204,Polymenorrhoea
205,Hand pain
206,Mastalgia
207,Coronary arteriosclerosis
208,Upper respiratory tract infection
209,Lower abdominal pain
210,Charleyhorse
211,Stabbing pain
212,Breast tenderness
213,Calcaneal spur
214,Muscle cramp
215,Hungry
216,Forgetful
217,Problem of visual accommodation
218,Feeling irritable
219,Wheezing
220,Heart disease
221,Abnormal muscle function
222,Alopecia
223,Pain in wrist
224,Hypertonia
225,Sexual dysfunction
226,Nerve injury
227,Carpal tunnel syndrome
228,Arthralgia
229,Excitement
230,Blepharospasm
231,Initial insomnia
232,Hepatic failure
233,Increased belching
234,Unable to concentrate
235,Exhaustion
236,Muscle twitch
237,Abdominal swelling
238,Tinnitus
239,Aggression
240,Moderate anxiety
241,Malaria
242,Phlebitis
243,Diarrhoea
244,Disorientated
245,Pins and needles
246,Visual disturbance
247,Orchidodynia
248,Hypomenorrhoea
249,Colitis
250,Decrease in appetite
251,Nasal discharge
252,Ulcerative colitis
253,Blood coagulation disorder
254,Swelling
255,Gingivitis
256,Abnormal large bowel motility
257,Middle insomnia
258,Increased liver function
259,Aortic aneurysm
260,Excruciating pain
261,Disorder of tendon
262,Nasal congestion
263,Arthritis of hip
264,Urinary tract infection
265,Myalgia
266,Intolerant of heat
267,Psychotic disorder
268,Increased venous pressure
269,Rheumatoid arthritis
270,Rhinitis
271,Haemorrhoids
272,Eye strain
273,Gingival oedema
274,Limitation of joint movement
275,Ulceration of gingivae
276,Increased appetite
277,Diabetes mellitus
278,Stevens-Johnson syndrome
279,Intervertebral disc prolapse
280,Stress
281,Pain in elbow
282,Mental disorder
283,Urgent desire to urinate
284,Abnormal liver function
285,Feeling angry
286,Pancreatitis
287,Endometriosis of uterus
288,Postmenopausal bleeding
289,Severe pain
290,Degeneration of intervertebral disc
291,Hypersomnia
292,Decreased liver function
293,Thigh pain
294,Heavy feeling in eyelids
295,Vaginospasm
296,Worried
297,Dry hair
298,Loss of appetite
299,Irregular menstruation
300,Palpitations
301,Muscle fatigue
302,Hepatomegaly
303,Intolerant of cold
304,Degenerative disease of the central nervous system
305,Respiratory depression
306,Dental caries
307,Encephalopathy
308,Bursitis of hip
309,Neck pain
310,Neck pain
311,Common cold
312,Congestion of nasal sinus
313,Chronic pain
314,Muscle fasciculation
315,Premenstrual tension syndrome
316,Disturbance in speech rhythm
317,Impaired mobility
318,Generalised aches and pains
319,Sense of smell impaired
320,Failure to lose weight
321,Cold sweat
322,Sj鰃ren's syndrome
323,Bursitis
324,Heart failure
325,Fatigue
326,Joint stiffness
327,Retching
328,Extreme exhaustion
329,Abnormal dreams
330,Autoimmune disease
331,Cardiomyopathy
332,Amyotrophic lateral sclerosis
333,Chronic rhinitis
334,Pulse fast
335,Aphasia
336,Aptyalism
337,Muscle atrophy
338,Weight loss
339,Loss of equilibrium
340,Photosensitivity
341,Pruritus ani
342,Gout
343,Burning sensation
344,Kidney disease
345,Pain in limb
346,Paraesthesia
347,Intraocular haemorrhage
348,Skin nodule
349,Disorder of skin
350,Mucosal numbness
351,Muscle spasms of head AND/OR neck
352,Intercostal myalgia
353,Subdural haematoma
354,Renal calculus
355,Ophthalmic migraine
356,Paraesthesia of upper limb
357,Disorder of vision
358,Injury of muscle
359,Influenza-like illness
360,Generalised acute body pains
361,Immobile
362,Agony
363,Cramp in foot
364,Pain in upper limb
365,Oedema of hand
366,Oedema of finger
367,Oedema of lower extremity
368,Clammy skin
369,Excessive appetite
370,Congestion of throat
371,Feeling intoxicated
372,Thoughts of self harm
373,Difficulty writing
374,Personality change
375,Sensation of hot and cold
376,Blocked ears
377,Severe vertigo
378,Dependance on walking stick
379,Disorder of cardiac function
380,Dislocation of joint
381,Joint tenderness
382,Derangement of meniscus
383,Blurring of visual image
384,Abdominal bloating
385,Disorder of face
386,Disorder of foot
387,Disorder of nervous system
388,Epigastric discomfort
389,Hammer toe
390,Increased lipid
391,Increased cholesterol esters
392,Decreased cholesterol esters
393,Joint injury
394,Contusion
395,Increased albumin
396,Inflammatory disorder
397,Injury of nervous system
398,Infectious disease of lung
399,Disorder of extremity
400,Intracranial aneurysm
401,Endometriosis
402,Myopathy
403,Impaired bed mobility
404,Blood pressure alteration
405,Sleep deprivation
406,Decreased progesterone level
407,Decreased testosterone level
408,Bleeding
409,Chronic back pain
410,Drinks wine
411,Bed-ridden
412,Language difficulty
413,Menstrual loss increasing
414,Abnormal weight gain
415,Heavy legs
416,Heavy feeling
417,Gland symptom
418,Stiff neck
419,Backache
420,Falls
421,Unable to stand
422,Bumping heart
423,Difficulty chewing
424,Indigestion
425,Hunger pain
426,Upset stomach
427,Excessive upper gastrointestinal gas
428,Urinary frequency
429,Restlessness
430,Dry eyes
431,Throbbing headache
432,Morbid thoughts
433,Buzzing in ear
434,Ringing in ear
435,Pain in throat
436,Urinary incontinence
437,Unable to climb stairs
438,White blood cell count abnormal
439,C-reactive protein abnormal
440,Liver function tests abnormal
441,Liver enzymes abnormal
442,Raised serum calcium level
443,Serum creatinine raised
444,Serum cholesterol raised
445,Serum triglycerides raised
446,Random blood sugar raised
447,Urine: dark/concentrated
448,Shin splint
449,Parvovirus infection
450,Obsessive-compulsive disorder
451,Anger reaction
452,Temporal lobe epilepsy
453,Cluster headache
454,Bell's palsy
455,Insomnia
456,Cataract
457,Angina
458,Asthma
459,Steatosis of liver
460,Lupus erythematosus
461,Hand joint pain
462,Elbow joint pain
463,Wrist joint pain
464,Proximal interphalangeal joint of finger pain
465,Ankle joint pain
466,Clicking knee
467,Clicking interphalangeal joint of toe
468,Shoulder tendonitis
469,Lateral epicondylitis
470,Plantar fasciitis
471,Spasm of back muscles
472,Rupture tendon thigh
473,Generally unwell
474,Lethargy
475,Tired
476,Hot sweats
477,Unable to control anger
478,Feeling bad
479,Feeling empty
480,Constantly crying
481,Feels everything is futile
482,Lacks confidence
483,Poor self-image
484,Yellow skin
485,Sight deteriorating
486,Unable to move
487,Stiff legs
488,Stiff limbs
489,Panic attack
490,Fine motor impairment
491,Walking disability
492,Difficulty breathing
493,Excessive day and night-time sleepiness
494,Compression neuropathy of trunk
495,Cerebrovascular accident
496,Transient global amnesia
497,Pneumonia
498,Bowel dysfunction
499,Liver disease
500,Intra-abdominal haematoma
501,Chronic diarrhoea
502,Renal impairment
503,Infective cystitis
504,Functional disorder of bladder
505,Bleeding between periods
506,Metabolic syndrome X
507,Overweight
508,Hand eczema
509,Flushing
510,Tear of meniscus of knee
511,Rupture of anterior cruciate ligament
512,Osteoarthritis of knee
513,Tendonitis AND/OR tenosynovitis of the elbow region
514,Rupture of tendon of lower leg and ankle
515,Contracture of tendon of ankle region
516,Rhabdomyolysis
517,Blurred vision - hazy
518,Hyperaemia of surface of eye
519,Blood clot in eye
520,Scleral icterus
521,Tightness in throat
522,Discomfort
523,Flank pain
524,Ankle pain
525,High pain threshold
526,Labour pain
527,Erythema
528,Blistering rash
529,Hives
530,Poor short-term memory
531,Unable to think clearly
532,Loss of interest
533,Reduced concentration
534,Ill-at-ease
535,Noise intolerance
536,Lack of libido
537,Craving for food or drink
538,Feeling faint
539,Mentally alert
540,Mentally vague
541,Cannot sleep at all
542,Not getting enough sleep
543,Always sleepy
544,Tires quickly
545,Lack of energy
546,Lack of stamina
547,Warm hands
548,Bloating symptom
549,Swollen knee
550,Distention of blood vessel
551,Rapid shallow breathing
552,Palpitations - rapid
553,Dropped beats - heart
554,Pounding heart
555,Prolonged periods
556,Bleeding from nose
557,Always hungry
558,Increased thirst
559,Choking
560,Abdominal muscles tense
561,Slow on legs
562,Difficulty standing
563,Difficulty standing up
564,Ankle stiff
565,Knee stiff
566,Hip stiff
567,Hand joint stiff
568,Wrist stiff
569,Elbow stiff
570,Shoulder stiff
571,Weakness of neck
572,Weakness of back
573,Shoulder girdle weakness
574,Spasmodic movement
575,Poor balance
576,Unsteady when standing
577,Muscle tension
578,Hand cramps
579,Cramp in calf
580,Abdominal pressure
581,Right ventricular dilatation
582,Intracranial tumour
583,Photosensitisation due to sun
584,Weight increased
585,Deep bruising
586,Rupture of muscle
587,Transient ischaemic attack
588,Dysmenorrhoea
589,Excessive and frequent menstruation
590,Tiredness symptom
591,Tired all the time
592,Dyspnoea
593,Oedema
594,Swollen ankle
595,Impaired exercise tolerance
596,Gastrointestinal symptom
597,Flatulence/wind
598,Urinary retention
599,Suicidal
600,Feeling lonely
601,Involuntary movement
602,Trembles
603,Blind or low vision - one eye only
604,Shoulder joint pain
605,Arthralgia of the upper arm
606,Arthralgia of the lower leg
607,Bad circulation - vasomotor change
608,Cold hands
609,Cold feet
610,Stiffness
611,Syncope
612,Mental distress
613,Feeling content
614,Stomach ache
615,General unsteadiness
616,Anaemia
617,Peeling of skin
618,Joint swelling
619,Drowsy
620,Collapse
621,Malaise and fatigue
622,Taste sense altered
623,Rash
624,"Flatulence, eructation and gas pain"
625,Burping
626,"Abdominal distension, gaseous"
627,Low blood pressure reading
628,Senility
629,Crying associated with mood
630,C/O - feeling depressed
631,Arthritis/arthrosis
632,Tendon contracture
633,Renal pain
634,Irritability and anger
635,Acute pain
636,Chronic intractable pain
637,Jaw pain
638,Tingling of skin
639,Swollen legs
640,Scalp itchy
